experiment,seed,run_idx,success,total_downtime,total_damage,total_defense_cost,total_falsepos_actions,mean_time_to_detect,total_attacker_utility
Solver_Bayesian_Adaptive,12345,176,False,0,0,50.0,0,2.0,2536.8509375001995
Solver_Bayesian_Adaptive,12345,177,False,0,0,185.0,0,3.0,3165.057437499605
Solver_Bayesian_Adaptive,12345,178,False,0,0,50.0,0,2.0,2536.850937499342
Solver_Bayesian_Adaptive,12345,179,False,0,0,505.0,0,7.0,18273.65155673219
Solver_Bayesian_Adaptive,12345,180,True,50,50,17703.74094105521,1,,18325.322056732348
Solver_Bayesian_Adaptive,12345,181,False,0,0,110.0,0,3.0,4128.081937500759
Solver_Bayesian_Adaptive,12345,182,False,0,0,685.0,1,3.0,3165.05743750165
Solver_Bayesian_Adaptive,12345,183,True,50,50,17258.74094105521,0,,18294.75155672978
Solver_Bayesian_Adaptive,12345,184,False,0,0,185.0,0,3.0,3165.0574375009446
Solver_Bayesian_Adaptive,12345,185,True,50,50,18203.74094105521,2,,18325.32205672972
Solver_Bayesian_Adaptive,12345,186,True,50,50,17703.74094105521,1,,18664.003587979874
Solver_Bayesian_Adaptive,12345,187,False,0,0,110.0,0,3.0,4128.081937500802
Solver_Bayesian_Adaptive,12345,188,False,0,0,130.0,0,3.0,3190.892687499422
Solver_Bayesian_Adaptive,12345,189,False,0,0,290.0,0,5.0,9510.295425431601
Solver_Bayesian_Adaptive,12345,190,False,0,0,185.0,0,3.0,2826.667687500297
Solver_Bayesian_Adaptive,12345,191,False,0,0,105.0,0,2.0,2123.379468749617
Solver_Bayesian_Adaptive,12345,192,False,0,0,80.0,0,1.0,664.4000000006216
Solver_Bayesian_Adaptive,12345,193,False,0,0,185.0,0,3.0,3165.0574374986854
Solver_Bayesian_Adaptive,12345,194,False,0,0,325.0,0,5.0,10083.259675431054
Solver_Bayesian_Adaptive,12345,195,False,0,0,110.0,0,3.0,3216.727937499434
Solver_Bayesian_Adaptive,12345,196,False,0,0,85.0,0,2.0,2482.3544687506683
Solver_Bayesian_Adaptive,12345,197,False,0,0,410.0,0,,19181.988556731078
Solver_Bayesian_Adaptive,12345,198,False,0,0,980.0,1,6.0,13481.525264052796
Solver_Bayesian_Adaptive,12345,199,True,50,50,17758.74094105521,1,,18294.751556731797
Solver_Insider_Threat,12345,0,False,0,0,430.0,0,,22055.496278386592
Solver_Insider_Threat,12345,1,False,0,0,1450.0,2,,21651.807672137962
Solver_Insider_Threat,12345,2,False,0,0,1345.0,2,5.0,11862.365688205027
Solver_Insider_Threat,12345,3,True,50,50,17203.74094105521,0,,22055.496278386807
Solver_Insider_Threat,12345,4,False,0,0,430.0,0,,22588.99692213718
Solver_Insider_Threat,12345,5,True,50,50,18223.74094105521,2,,21651.80767213685
Solver_Insider_Threat,12345,6,True,50,50,17223.74094105521,0,,22038.077672138792
Solver_Insider_Threat,12345,7,True,50,50,17723.74094105521,1,,22016.324453387162
Solver_Insider_Threat,12345,8,False,0,0,950.0,1,7.0,22016.324453388104
Solver_Insider_Threat,12345,9,False,0,0,1005.0,1,,21995.224453388226
Solver_Insider_Threat,12345,10,False,0,0,1005.0,1,7.0,21487.15842213709
Solver_Insider_Threat,12345,11,False,0,0,185.0,0,3.0,3715.4380374990055
Solver_Insider_Threat,12345,12,True,50,50,18203.74094105521,2,,22055.49627838754
Solver_Insider_Threat,12345,13,False,0,0,105.0,0,2.0,1985.9316874992592
Solver_Insider_Threat,12345,14,False,0,0,105.0,0,2.0,2475.9258937493196
Solver_Insider_Threat,12345,15,False,0,0,1005.0,1,,21487.158422137145
Solver_Insider_Threat,12345,16,False,0,0,505.0,0,,21573.270172138433
Solver_Insider_Threat,12345,17,False,0,0,505.0,0,7.0,21625.972422138606
Solver_Insider_Threat,12345,18,True,50,50,17278.74094105521,0,,21937.786953388164
Solver_Insider_Threat,12345,19,False,0,0,605.0,1,2.0,1985.9316874996648
Solver_Insider_Threat,12345,20,False,0,0,50.0,0,2.0,2515.0977187503277
Solver_Insider_Threat,12345,21,False,0,0,1450.0,2,,21651.80767213912
Solver_Insider_Threat,12345,22,False,0,0,790.0,1,5.0,11901.537513206462
Solver_Insider_Threat,12345,23,False,0,0,630.0,1,3.0,4105.790068751934
Solver_Insider_Threat,12345,24,False,0,0,80.0,0,1.0,950.0874999996909
Solver_Insider_Threat,12345,25,True,50,50,17333.74094105521,0,,21547.434922137843
Solver_Insider_Threat,12345,26,False,0,0,925.0,1,6.0,17127.033629458892
Solver_Insider_Threat,12345,27,False,0,0,105.0,0,2.0,1985.9316874996161
Solver_Insider_Threat,12345,28,True,50,50,17223.74094105521,0,,22016.32445338779
Solver_Insider_Threat,12345,29,False,0,0,50.0,0,2.0,2150.580937499024
Solver_Insider_Threat,12345,30,False,0,0,790.0,1,5.0,11901.537513205541
Solver_Insider_Threat,12345,31,False,0,0,790.0,1,5.0,11537.020731955947
Solver_Insider_Threat,12345,32,False,0,0,1005.0,1,,21977.1526283887
Solver_Insider_Threat,12345,33,False,0,0,790.0,1,5.0,11923.29073195639
Solver_Insider_Threat,12345,34,False,0,0,1430.0,2,,22055.49627838756
Solver_Insider_Threat,12345,35,False,0,0,345.0,0,5.0,11511.18548195413
Solver_Insider_Threat,12345,36,False,0,0,1005.0,1,,21487.158422138782
Solver_Insider_Threat,12345,37,True,50,50,17258.74094105521,0,,21595.13492213991
Solver_Insider_Threat,12345,38,False,0,0,290.0,0,5.0,11901.537513205374
Solver_Insider_Threat,12345,39,True,50,50,17258.74094105521,0,,21647.07242213875
Solver_Insider_Threat,12345,40,False,0,0,950.0,1,7.0,22038.07767213847
Solver_Insider_Threat,12345,41,False,0,0,910.0,1,,21646.8054221394
Solver_Insider_Threat,12345,42,False,0,0,110.0,0,3.0,4144.961893750084
Solver_Insider_Threat,12345,43,False,0,0,250.0,0,5.0,11909.871838205006
Solver_Insider_Threat,12345,44,False,0,0,850.0,1,6.0,17556.55748570853
Solver_Insider_Threat,12345,45,False,0,0,505.0,0,7.0,21977.15262838925
Solver_Insider_Threat,12345,46,False,0,0,505.0,0,7.0,21487.158422139364
Solver_Insider_Threat,12345,47,False,0,0,450.0,0,,22016.324453388956
Solver_Insider_Threat,12345,48,False,0,0,105.0,0,2.0,2475.9258937483974
Solver_Insider_Threat,12345,49,False,0,0,870.0,1,6.0,17517.38566070951
Solver_Insider_Threat,12345,50,False,0,0,605.0,1,2.0,1985.9316875003983
Solver_Insider_Threat,12345,51,False,0,0,130.0,0,3.0,4105.790068750062
Solver_Insider_Threat,12345,52,False,0,0,350.0,0,6.0,17556.557485709665
Solver_Insider_Threat,12345,53,False,0,0,290.0,0,5.0,11901.53751320464
Solver_Insider_Threat,12345,54,False,0,0,430.0,0,7.0,21677.64292213662
Solver_Insider_Threat,12345,55,False,0,0,950.0,1,,22038.077672137275
Solver_Insider_Threat,12345,56,False,0,0,30.0,0,2.0,3087.7701875000903
Solver_Insider_Threat,12345,57,False,0,0,950.0,1,,22016.324453387846
Solver_Insider_Threat,12345,58,False,0,0,110.0,0,3.0,3767.108537500203
Solver_Insider_Threat,12345,59,False,0,0,950.0,1,,22016.324453390418
Solver_Insider_Threat,12345,60,False,0,0,265.0,0,4.0,7591.042784805938
Solver_Insider_Threat,12345,61,True,50,50,17223.74094105521,0,,22016.32445338818
Solver_Insider_Threat,12345,62,False,0,0,185.0,0,3.0,3715.4380374994853
Solver_Insider_Threat,12345,63,True,50,50,17203.74094105521,0,,22055.496278388477
Solver_Insider_Threat,12345,64,False,0,0,325.0,0,5.0,11480.347981952887
Solver_Insider_Threat,12345,65,True,50,50,17183.74094105521,0,,22610.096922139957
Solver_Insider_Threat,12345,66,False,0,0,790.0,1,5.0,11901.537513204303
Solver_Insider_Threat,12345,67,True,50,50,17723.74094105521,1,,21651.807672137147
