experiment,run_idx,step_idx,ck_stage,technique_id,technique_name,action_success,detected,detect_prob,detection_delay,impact_minutes,attacker_belief_high_cap,nash_prob_chosen,discounted_payoff_step
Solver_Bayesian_Adaptive,31,6,Actions on Objectives,T0882,Theft of Operational Information,False,False,0.17550000000000002,0,0,0.01,1.0,4498.938792678206
Solver_Bayesian_Adaptive,32,0,Reconnaissance,T0842,Network Sniffing,False,False,0.025,0,0,0.11111111111111108,1.0,1028.6249999992547
Solver_Bayesian_Adaptive,32,1,Weaponization,T0818,Engineering Workstation Compromise,True,False,0.1575,0,0,0.015384615384615373,0.3333333333333333,1290.613593750455
Solver_Bayesian_Adaptive,32,2,Delivery,T0865,Spearphishing Attachment,True,False,0.3960000000000001,0,0,0.01,1.0,1040.311749999649
Solver_Bayesian_Adaptive,32,3,Exploitation,T0863,User Execution,True,False,0.051750000000000004,0,0,0.01,1.0,3524.424541055022
Solver_Bayesian_Adaptive,32,4,Installation,T1505.003,Server Software Component: Web Shell,False,False,0.162,0,0,0.01,1.0,2794.9781968745006
Solver_Bayesian_Adaptive,32,5,Command & Control,T0884,Connection Proxy,True,False,0.11250000000000002,0,0,0.01,1.0,4290.252588622433
Solver_Bayesian_Adaptive,32,6,Actions on Objectives,T0882,Theft of Operational Information,True,False,0.17550000000000002,0,50,0.01,1.0,4498.938792678302
Solver_Bayesian_Adaptive,33,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,1.0,1028.6250000008033
Solver_Bayesian_Adaptive,33,1,Weaponization,T0820,Exploitation for Evasion,True,True,0.6615000000000001,1,0,0.35999999999999993,0.3333333333333333,957.3066875008576
Solver_Bayesian_Adaptive,34,0,Reconnaissance,T0887,Wireless Sniffing,True,False,0.4,0,0,0.11111111111111108,0.3333333333333333,1026.0000000000734
Solver_Bayesian_Adaptive,34,1,Weaponization,T0849,Masquerading,True,False,0.04725000000000001,0,0,0.015384615384615373,0.9380952380965778,1096.1206874996897
Solver_Bayesian_Adaptive,34,2,Delivery,T0865,Spearphishing Attachment,True,False,0.3960000000000001,0,0,0.01,1.0,1040.311750000253
Solver_Bayesian_Adaptive,34,3,Exploitation,T0863,User Execution,False,False,0.051750000000000004,0,0,0.01,1.0,3524.4245410542944
Solver_Bayesian_Adaptive,34,4,Installation,T1505.003,Server Software Component: Web Shell,False,False,0.162,0,0,0.01,1.0,2794.9781968751417
Solver_Bayesian_Adaptive,34,5,Command & Control,T0884,Connection Proxy,True,True,0.11250000000000002,1,0,0.043478260869565216,1.0,4290.252588622926
Solver_Bayesian_Adaptive,35,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,1.0,1028.624999999712
Solver_Bayesian_Adaptive,35,1,Weaponization,T0849,Masquerading,False,False,0.04725000000000001,0,0,0.015384615384615373,0.9380952380878969,1096.1206875003713
Solver_Bayesian_Adaptive,35,2,Delivery,T0865,Spearphishing Attachment,True,False,0.3960000000000001,0,0,0.01,1.0,1040.3117500005712
Solver_Bayesian_Adaptive,35,3,Exploitation,T0863,User Execution,True,False,0.051750000000000004,0,0,0.01,1.0,3524.424541054805
Solver_Bayesian_Adaptive,35,4,Installation,T1505.003,Server Software Component: Web Shell,True,False,0.162,0,0,0.01,1.0,2794.978196874343
Solver_Bayesian_Adaptive,35,5,Command & Control,T0884,Connection Proxy,False,False,0.11250000000000002,0,0,0.01,1.0,4290.252588623121
Solver_Bayesian_Adaptive,35,6,Actions on Objectives,T0882,Theft of Operational Information,True,False,0.17550000000000002,0,50,0.01,1.0,4498.938792679184
Solver_Bayesian_Adaptive,36,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,1.0,1028.6249999990189
Solver_Bayesian_Adaptive,36,1,Weaponization,T0820,Exploitation for Evasion,True,False,0.0735,0,0,0.015384615384615373,0.3333333333333333,2059.145187500275
Solver_Bayesian_Adaptive,36,2,Delivery,T0865,Spearphishing Attachment,True,False,0.3960000000000001,0,0,0.01,1.0,1040.3117499998814
Solver_Bayesian_Adaptive,36,3,Exploitation,T0863,User Execution,True,False,0.051750000000000004,0,0,0.01,1.0,3524.4245410554936
Solver_Bayesian_Adaptive,36,4,Installation,T1505.003,Server Software Component: Web Shell,True,False,0.162,0,0,0.01,1.0,2794.978196875042
Solver_Bayesian_Adaptive,36,5,Command & Control,T0884,Connection Proxy,True,False,0.11250000000000002,0,0,0.01,1.0,4290.252588622649
Solver_Bayesian_Adaptive,36,6,Actions on Objectives,T0882,Theft of Operational Information,False,False,0.17550000000000002,0,0,0.01,1.0,4498.938792678483
Solver_Bayesian_Adaptive,37,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,1.0,1028.62499999949
Solver_Bayesian_Adaptive,37,1,Weaponization,T0818,Engineering Workstation Compromise,True,False,0.1575,0,0,0.015384615384615373,0.3333333333333333,1290.613593749379
Solver_Bayesian_Adaptive,37,2,Delivery,T0865,Spearphishing Attachment,False,False,0.3960000000000001,0,0,0.01,1.0,1040.3117500003468
Solver_Bayesian_Adaptive,37,3,Exploitation,T0863,User Execution,True,False,0.051750000000000004,0,0,0.01,1.0,3524.4245410553253
Solver_Bayesian_Adaptive,37,4,Installation,T1505.003,Server Software Component: Web Shell,False,False,0.162,0,0,0.01,1.0,2794.978196874252
Solver_Bayesian_Adaptive,37,5,Command & Control,T0884,Connection Proxy,False,False,0.11250000000000002,0,0,0.01,1.0,4290.2525886231615
Solver_Bayesian_Adaptive,37,6,Actions on Objectives,T0882,Theft of Operational Information,True,False,0.17550000000000002,0,50,0.01,1.0,4498.938792678745
Solver_Bayesian_Adaptive,38,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,1.0,1028.6249999992012
Solver_Bayesian_Adaptive,38,1,Weaponization,T0849,Masquerading,False,False,0.04725000000000001,0,0,0.015384615384615373,0.9380952380947308,1096.120687499366
Solver_Bayesian_Adaptive,38,2,Delivery,T0865,Spearphishing Attachment,True,False,0.3960000000000001,0,0,0.01,1.0,1040.3117499993718
Solver_Bayesian_Adaptive,38,3,Exploitation,T0863,User Execution,True,False,0.051750000000000004,0,0,0.01,1.0,3524.424541054335
Solver_Bayesian_Adaptive,38,4,Installation,T1505.003,Server Software Component: Web Shell,False,False,0.162,0,0,0.01,1.0,2794.9781968745037
Solver_Bayesian_Adaptive,38,5,Command & Control,T0884,Connection Proxy,True,False,0.11250000000000002,0,0,0.01,1.0,4290.2525886231915
Solver_Bayesian_Adaptive,38,6,Actions on Objectives,T0882,Theft of Operational Information,True,True,0.17550000000000002,1,0,0.043478260869565216,1.0,4498.938792679223
Solver_Bayesian_Adaptive,39,0,Reconnaissance,T0887,Wireless Sniffing,False,False,0.4,0,0,0.11111111111111108,0.3333333333333333,1026.000000000443
Solver_Bayesian_Adaptive,39,1,Weaponization,T0818,Engineering Workstation Compromise,False,False,0.0315,0,0,0.015384615384615373,0.3333333333333333,1486.4727187494511
